名称,类型,描述
ACCA,Double,现金流资产比和资产回报率之差
accountsPayablesTDays,double,应付帐款周转天数
AccountsPayablesTDays,Double,应付帐款周转天数
accountsPayablesTRate,double,应付帐款周转率
AccountsPayablesTRate,Double,应付帐款周转率
adminiExpenseRate,double,管理费用／营业总收入
AdminiExpenseRate,Double,管理费用／营业总收入
ARTDays,double,应收帐款周转天数
ARTDays,Double,应收帐款周转天数
ARTRate,double,应收帐款周转率
ARTRate,Double,应收帐款周转率
ASSI,double,对数总资产
ASSI,Double,对数总资产
BackwardADJ,Double,股价向后复权因子
BLEV,double,账面杠杆
BLEV,Double,账面杠杆
bondsPayableToAsset,double,应付债券/总资产
BondsPayableToAsset,Double,应付债券/总资产
BTOP,double,权益市值比
CashRateOfSales,Double,经营活动产生的现金流量净额/营业收入
cashRateOfSalesTTM,double,经营活动产生的现金流量净额/营业收入
cashToCurrentDebt,double,现金比率
CashToCurrentLiability,Double,现金比率
CFO2EV,Double,经营活动产生的现金流量净额与企业价值之比
CMRA,double,24月累计收益
CMRA,Double,24月累计收益
costRatio,double,销售成本率
CTOP,double,现金流市值比
CTOP,Double,现金流市值比
CTP5,double,5年平均现金流市值比
CTP5,Double,5年平均现金流市值比
currentAssetsRatio,double,流动资产/总资产
CurrentAssetsRatio,Double,流动资产/总资产
currentAssetsTRate,double,流动资产周转率
CurrentAssetsTRate,Double,流动资产周转率
currentRatio,double,流动比率
CurrentRatio,Double,流动比率
DAFE,double,分析师盈利预测变化
DAFS,double,分析师营收预测变化
DAREC,double,分析师推荐评级变化
DAREC,Double,分析师推荐评级变化
DAREV,Double,分析师盈利预测变化
DASREV,Double,分析师盈收预测变化
DAVOL10,double,10日相对换手率
DAVOL10,Double,10日相对换手率
DAVOL20,double,20日相对换手率
DAVOL20,Double,20日相对换手率
DAVOL5,double,5日相对换手率
DAVOL5,Double,5日相对换手率
DDNBT,double,下跌贝塔
DDNBT,Double,下跌贝塔
DDNCR,double,下跌相关系数
DDNCR,Double,下跌相关系数
DDNSR,double,下跌波动
DDNSR,Double,下跌波动
debtEquityRatio,double,产权比率
DebtEquityRatio,Double,产权比率
debtsAssetRatio,double,负债资产率
DebtsAssetRatio,Double,负债资产率
DEGM,Double,毛利率增长，去年同期相比
DHILO,double,波幅中位数
DHILO,Double,波幅中位数
DilutedEPS,Double,稀释每股收益
dilutedEPSTTM,double,稀释每股收益TTM
DTOA,double,债务总资产比
DVRAT,double,收益相对波动
DVRAT,Double,收益相对波动
EARNMOM,Double,八季度净利润变化趋势，前8个季度的净利润，如果同比（去年同期）增长记为+1，同 比下滑记为-1，再将8个值相加。
EBITToTOR,double,息税前利润／营业总收入
EBITToTOR,Double,息税前利润／营业总收入
EGRO,double,5年收益增长率
EGRO,Double,5年收益增长率
EMA10,double,10日指数移动均线
EMA10,Double,10日指数移动均线
EMA120,double,120日指数移动均线
EMA120,Double,120日指数移动均线
EMA20,double,20日指数移动均线
EMA20,Double,20日指数移动均线
EMA5,double,5日指数移动均线
EMA5,Double,5日指数移动均线
EMA60,double,60日指数移动均线
EMA60,Double,60日指数移动均线
EPS,double,每股收益
EPS,Double,每股收益
equityFixedAssetRatio,double,股东权益与固定资产比率
EquityFixedAssetRatio,Double,股东权益与固定资产比率
equityToAsset,double,股东权益比率
EquityToAsset,Double,股东权益比率
equityTRate,double,股东权益周转率
equityTRate,double,股东权益周转率
EquityTRate,Double,股东权益周转率
ETOP,double,收益市值比
ETOP,Double,收益市值比
ETP5,double,5年平均收益市值比
ETP5,Double,5年平均收益市值比
FEARNG,Double,未来预期盈利增长率
FEP,double,分析师盈利预测EP
FGE,double,未来预期盈利增长率
FGS,double,未来预期营收增长率
FiftyTwoWeekHigh,Double,当前价格处于过去1年股价的位置
financialExpenseRate,double,财务费用／营业总收入
FinancialExpenseRate,Double,财务费用／营业总收入
FinancingCashGrowRate,Double,筹资活动产生的现金流量净额增长率
financingCashGrowthRate,double,筹资活动产生的现金流量净额增长率
fixAssetRatio,double,固定资产比率
FixAssetRatio,Double,固定资产比率
FixedAssetsTRate,Double,固定资产周转率
fixedAssetTRate,double,固定资产周转率
FSALESG,Double,未来预期盈收增长率
FSP,double,分析师营收预测EP
FY12P,Double,分析师盈利预测
GFE,double,分析师盈利预测变化趋势
GFS,double,分析师营收预测变化趋势
GREC,double,分析师推荐评级变化趋势
GREC,Double,分析师推荐评级变化趋势
GREV,Double,分析师盈利预测变化趋势
grossIncomeRatio,double,销售毛利率
GrossIncomeRatio,Double,销售毛利率
GSREV,Double,分析师盈收预测变化趋势
HBETA,double,历史贝塔
HBETA,Double,历史贝塔
HSIGMA,double,历史波动
HSIGMA,Double,历史波动
ILLIQUIDITY,Double,收益相对金额比，过去20个交易日 收益相对金额的比例。
instangleAssetRatio,double,无形资产比率
IntangibleAssetRatio,Double,无形资产比率
inventoryTDays,double,存货周转天数
InventoryTDays,Double,存货周转天数
inventoryTRate,double,存货周转率
InventoryTRate,Double,存货周转率
investCashGrowRate,double,投资活动产生的现金流量净额增长率
InvestCashGrowRate,Double,投资活动产生的现金流量净额增长率
LCAP,double,对数市值
LCAP,Double,对数市值
LFLO,double,对数流动市值
LFLO,Double,对数流动市值
longDebtToAsset,double,长期借款/总资产
LongDebtToAsset,Double,长期借款/总资产
longDebtToWorkingCapital,double,长期负债与营运资金比率
LongDebtToWorkingCapital,Double,长期负债与营运资金比率
longTermDebtToAsset,double,长期借款/总资产
LongTermDebtToAsset,double,长期负债/股东权益
LongTermDebtToAsset,Double,长期借款/总资产
MA10,double,10日移动均线
MA10,Double,10日移动均线
MA120,double,120日移动均线
MA120,Double,120日移动均线
MA20,double,20日移动均线
MA20,Double,20日移动均线
MA5,double,5日移动均线
MA5,Double,5日移动均线
MA60,double,60日移动均线
MA60,Double,60日移动均线
MACD,Double,指数平滑异同平均线
MAWVAD,Double,威廉变异离散量的移动平均
MFI,double,资金流量指标
MFI,Double,资金流量指标
MLEV,double,市场杠杆
MLEV,Double,市场杠杆
MNDTO12,double,12月平均换手
MNDTO3,double,3月平均换手
MNDTO6,double,6月平均换手
NetAssetGrowRate,Double,净资产同比增长
netAssetGrowthRate,double,净资产同比增长
NetProfitGrowRate,Double,净利润同比增长
netProfitGrowthRate,double,净利润同比增长
netProfitRatio,double,销售净利率
NetProfitRatio,Double,销售净利率
NOCFToOperatingNI,Double,经营活动产生的现金流量净额/经营活动净收益
NOCFToOperatingNITTM,double,经营活动产生的现金流量净额/经营活动净收益
nonCurrentAssetsRatio,double,非流动资产/总资产
NonCurrentAssetsRatio,Double,非流动资产/总资产
NPParentCompanyGrowRate,Double,归属母公司股东的净利润增长率
NPParentCompanyGrowthRate,double,归属母公司股东的净利润增长率
NPParentCompanyYOY,double,归属母公司股东的净利润同比增长
NPToTOR,double,净利润／营业总收入
NPToTOR,Double,净利润／营业总收入
operaProfitRatio,double,主营业务利润率
operatingExpenseRate,double,营业费用／营业总收入
OperatingExpenseRate,Double,营业费用／营业总收入
OperatingProfitGrowRate,Double,营业利润增长率
operatingProfitGrowthRate,double,营业利润增长率
operatingProfitRatio,double,营业利润率
OperatingProfitRatio,Double,营业利润率
operatingProfitToTOR,double,营业利润／营业总收入
OperatingProfitToTOR,Double,营业利润／营业总收入
OperatingRevenueGrowRate,Double,营业收入同比增长
operatingRevenueGrowthRate,double,营业收入同比增长
OperCashGrowRate,Double,经营活动产生的现金流量净额增长率
operCashGrowthRate,double,经营活动产生的现金流量净额增长率
operCashInToCurrentDebt,double,现金流动负债比
OperCashInToCurrentLiability,Double,现金流动负债比
operProfitGrowthRrate,double,营业利润同比增长
PB,double,市净率
PB,Double,市净率
PCF,double,市现率
PCF,Double,市现率
PE,double,市盈率
PE,Double,市盈率
PS,double,市销率
PS,Double,市销率
PSY,double,心理线指标
PSY,Double,心理线指标
quickRatio,double,速动比率
QuickRatio,Double,速动比率
REC,double,分析师推荐评级
REC,Double,分析师推荐评级
REVS10,double,10日股价收益
REVS10,Double,10日股价收益
REVS20,double,20日股价收益
REVS20,Double,20日股价收益
REVS5,double,5日股价收益
REVS5,Double,5日股价收益
ROA,double,资产回报率
ROA,Double,资产回报率
ROA5,double,5年资产收益率
ROA5,Double,5年资产收益率
ROE,double,权益回报率
ROE,Double,权益回报率
ROE5,double,5年权益回报率
ROE5,Double,5年权益回报率
RSI,double,相对强弱指标
RSI,Double,相对强弱指标
RSTR12,double,12月相对强势
RSTR12,Double,12月相对强势
RSTR24,double,24月相对强势
RSTR24,Double,24月相对强势
salesCostRatio,double,销售成本率
SalesCostRatio,Double,销售成本率
SaleServiceCashToOR,Double,销售商品提供劳务收到的现金/营业收入
saleServiceCashToORTTM,double,销售商品提供劳务收到的现金/营业收入
secID,String,证券ID
SFY12P,Double,分析师营收预测
Skewness,Double,股价偏度，过去20个交易日股价的偏度。
SUE,double,未预期盈余
SUE,Double,未预期盈余
SUOI,Double,未预期毛利
TA2EV,Double,资产总计与企业价值之比
taxRatio,double,销售税金率
TaxRatio,Double,销售税金率
ticker,String,股票代码
TOBT,double,超额流动
TOBT,Double,超额流动
TotalAssetGrowRate,Double,总资产同比增长
totalAssetGrowthRate,double,总资产同比增长
TotalAssetsTRate,Double,总资产周转率
totalAssetTRate,double,总资产周转率
TotalAssetTRate,double,总资产周转率
totalProfitCostRatio,double,成本费用利润率
TotalProfitCostRatio,Double,成本费用利润率
TotalProfitGrowRate,Double,利润总额同比增长
totalProfitGrowthRate,double,利润总额同比增长
tradeDate,String,交易日期
VOL10,double,10日换手率
VOL10,Double,10日换手率
VOL120,double,120日换手率
VOL120,Double,120日换手率
VOL20,double,20日换手率
VOL20,Double,20日换手率
VOL240,Double,240日换手率
VOL5,double,5日换手率
VOL5,Double,5日换手率
VOL60,double,60日换手率
VOL60,Double,60日换手率
Volatility,Double,换手率相对波动率
WVAD,double,威廉变异离散量
WVAD,Double,威廉变异离散量
